order,lam,flux,mask
0,6816.40380399712,1.00387,False
0,6816.42799449545,1.007244,False
0,6816.45218499379,1.012264,False
0,6816.47637549213,1.01659,False
0,6816.50056599046,1.014678,False
0,6816.5247564888,1.007975,False
0,6816.54894698714,1.00141,False
0,6816.57313748547,0.997156,False
0,6816.59732798381,0.9957601,False
0,6816.62151848214,0.9974895,False
0,6816.64570898048,1.001996,False
0,6816.66989947881,1.00732,False
0,6816.69408997715,1.009361,False
0,6816.71828047549,1.008934,False
0,6816.74247097382,1.009535,False
0,6816.76666147216,1.011448,False
0,6816.79085197049,1.01018,False
0,6816.81504246883,1.003881,False
0,6816.83923296717,0.9971861,False
0,6816.8634234655,0.9980866,False
0,6816.88761396384,0.9988396,False
0,6816.91180446217,0.9968269,False
0,6816.93599496051,0.9956863,False
0,6816.96018545885,0.9944899,False
0,6816.98437595718,0.9905449,False
0,6817.00856645552,0.9842111,False
0,6817.03275695386,0.9789512,False
0,6817.05694745219,0.9776716,False
0,6817.08113795053,0.9808582,False
0,6817.10532844886,0.9873405,False
0,6817.1295189472,0.9945146,False
0,6817.15370944553,0.9984266,False
0,6817.17789994387,0.9966558,False
0,6817.20209044221,0.992413,False
0,6817.22628094054,0.9925587,False
0,6817.25047143888,1.000374,False
0,6817.27466193721,1.009391,False
0,6817.29885243555,1.014088,False
0,6817.32304293389,1.015353,False
0,6817.34723343222,1.01687,False
0,6817.37142393056,1.015062,False
0,6817.3956144289,1.010754,False
0,6817.41980492723,1.010293,False
0,6817.44399542557,1.011329,False
0,6817.4681859239,1.010727,False
0,6817.49237642224,1.008158,False
0,6817.51656692057,1.006272,False
0,6817.54075741891,1.007203,False
0,6817.56494791725,1.008611,False
0,6817.58913841558,1.007634,False
0,6817.61332891392,1.004305,False
0,6817.63751941225,1.000698,False
0,6817.66170991059,0.9988588,False
0,6817.68590040893,0.9993917,False
0,6817.71009090726,1.001215,False
0,6817.7342814056,1.002867,False
0,6817.75847190393,1.002262,False
0,6817.78266240227,1.00093,False
0,6817.80685290061,1.003689,False
0,6817.83104339894,1.00827,False
0,6817.85523389728,1.007065,False
0,6817.87942439562,0.9983795,False
0,6817.90361489395,0.9911427,False
0,6817.92780539229,0.988672,False
0,6817.95199589062,0.9892625,False
0,6817.97618638896,0.98954,False
0,6818.0003768873,0.9882717,False
0,6818.02456738563,0.9877208,False
0,6818.04875788397,0.9911525,False
0,6818.0729483823,0.9986138,False
0,6818.09713888064,1.005146,False
0,6818.12132937898,1.007278,False
0,6818.14551987731,1.006506,False
0,6818.16971037565,1.006642,False
0,6818.19390087398,1.008678,False
0,6818.21809137232,1.007972,False
0,6818.24228187066,1.003316,False
0,6818.26647236899,0.9989812,False
0,6818.29066286733,1.000331,False
0,6818.31485336566,1.004354,False
0,6818.339043864,1.005217,False
0,6818.36323436233,1.000627,False
0,6818.38742486067,0.9951787,False
0,6818.41161535901,0.9933622,False
0,6818.43580585734,0.9954529,False
0,6818.45999635568,0.9981947,False
0,6818.48418685402,0.9987901,False
0,6818.50837735235,0.9972952,False
0,6818.53256785069,0.9957479,False
0,6818.55675834902,0.9958033,False
0,6818.58094884736,0.9966632,False
0,6818.6051393457,0.9982354,False
0,6818.62932984403,1.000859,False
0,6818.65352034237,1.003868,False
0,6818.6777108407,1.004342,False
0,6818.70190133904,1.000712,False
0,6818.72609183738,0.9961978,False
0,6818.75028233571,0.9959811,False
0,6818.77447283405,0.9993481,False
0,6818.79866333239,1.002046,False
0,6818.82285383072,1.003319,False
0,6818.84704432906,1.006555,False
0,6818.87123482739,1.011644,False
0,6818.89542532573,1.011045,False
0,6818.91961582406,1.005639,False
0,6818.9438063224,1.006231,False
0,6818.96799682073,1.011813,False
0,6818.99218731907,1.017179,False
0,6819.01637781741,1.018397,False
0,6819.04056831574,1.015892,False
0,6819.06475881408,1.013342,False
0,6819.08894931242,1.012927,False
0,6819.11313981075,1.01318,False
0,6819.13733030909,1.010108,False
0,6819.16152080742,1.002014,False
0,6819.18571130576,0.9929532,False
0,6819.2099018041,0.9888441,False
0,6819.23409230243,0.9908609,False
0,6819.25828280077,0.9894512,False
0,6819.2824732991,0.9838036,False
0,6819.30666379744,0.9794188,False
0,6819.33085429577,0.979352,False
0,6819.35504479411,0.9807287,False
0,6819.37923529245,0.9806638,False
0,6819.40342579078,0.9814935,False
0,6819.42761628912,0.9890234,False
0,6819.45180678746,0.9955583,False
0,6819.47599728579,0.9964147,False
0,6819.50018778413,0.992924,False
0,6819.52437828246,0.9884815,False
0,6819.5485687808,0.9856098,False
0,6819.57275927914,0.9853393,False
0,6819.59694977747,0.98722,False
0,6819.62114027581,0.9896431,False
0,6819.64533077414,0.9898029,False
0,6819.66952127248,0.9881273,False
